Date,Min Temp (°C),Max Temp (°C),Avg Temp (°C)
2025-05-01,22.5,41.2,31.9
2025-05-02,21.2,40.6,30.9
2025-05-03,25.3,38.2,31.8
2025-05-04,23.1,36.9,30.0
2025-05-05,21.7,38.2,30.0
2025-05-06,23.2,37.4,30.3
2025-05-07,22.8,33.7,28.3
2025-05-08,23.4,32.8,28.1
2025-05-09,21.7,32.8,27.3
2025-05-10,20.4,35.4,27.9
2025-05-11,22.3,36.2,29.3
2025-05-12,24.0,36.4,30.2
2025-05-13,22.3,33.6,28.0
2025-05-14,23.0,35.7,29.4
2025-05-15,23.8,35.6,29.7
2025-05-16,23.8,33.8,28.8
2025-05-17,23.4,34.5,29.0
2025-05-18,24.0,34.8,29.4
2025-05-19,23.8,34.5,29.2
2025-05-20,22.2,34.8,28.5
2025-05-21,21.3,31.4,26.3
2025-05-22,22.6,29.6,26.1
2025-05-23,22.8,26.6,24.7
2025-05-24,21.0,26.6,23.8
2025-05-25,22.2,28.0,25.1
2025-05-26,21.3,28.4,24.8
2025-05-27,21.9,24.8,23.4
2025-05-28,21.9,29.2,25.5
